stay_ID,n_stints,detention_facility_codes_all,stay_book_in_date_time,stay_book_out_date_time,detention_release_reason,stay_book_out_date,stay_release_reason,religion,gender,marital_status,birth_year,ethnicity,entry_status,felon,bond_posted_date,bond_posted_amount,case_status,case_category,final_order_yes_no,final_order_date,case_threat_level,book_in_criminality,final_charge,departed_date,departure_country,initial_bond_set_amount,citizenship_country,final_program,most_serious_conviction_code,msc_charge,unique_identifier,n_stays,detention_facility_first,detention_facility_code_first,book_in_date_time_first,book_out_date_time_first,detention_facility_longest,detention_facility_code_longest,book_in_date_time_longest,book_out_date_time_longest,detention_facility_last,detention_facility_code_last,book_in_date_time_last,book_out_date_time_last
00310f7234676fbbb38e3417f54cd262e14a33bd_2025-09-24 07:30:00,2,WCTHOLD; MTGPCTX,2025-09-24T07:30:00Z,2025-09-28T10:13:31Z,Removed,2025-09-28T00:00:00Z,Removed,NA,Male,Single,1977,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,YES,2002-10-01T00:00:00Z,NA,3 Other Immigration Violator,ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs),2025-09-28T00:00:00Z,HONDURAS,NA,HONDURAS,ERO Criminal Alien Program,NA,NA,00310f7234676fbbb38e3417f54cd262e14a33bd,1,WACO DRO HOLD ROOM,WCTHOLD,2025-09-24T07:30:00Z,2025-09-24T14:15:00Z,MONTGOMERY PROCESSING CTR,MTGPCTX,2025-09-25T02:25:00Z,2025-09-28T10:13:31Z,MONTGOMERY PROCESSING CTR,MTGPCTX,2025-09-25T02:25:00Z,2025-09-28T10:13:31Z
00653825a2a9ee3d5baa8ee488c0d227ddca9381_2025-04-25 08:00:00,3,WCTHOLD; MTGPCTX; CSCNWWA,2025-04-25T08:00:00Z,NA,NA,NA,NA,NA,Male,Single,1991,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,ACTIVE,[8C] Excludable / Inadmissible - Administrative Final Order Issued,YES,2020-02-19T00:00:00Z,1,1 Convicted Criminal,NA,NA,NA,NA,CUBA,ERO Criminal Alien Program,1399,Assault,00653825a2a9ee3d5baa8ee488c0d227ddca9381,2,WACO DRO HOLD ROOM,WCTHOLD,2025-04-25T08:00:00Z,2025-04-25T15:07:00Z,NW ICE PROCESSING CTR,CSCNWWA,2025-05-04T15:00:00Z,NA,NW ICE PROCESSING CTR,CSCNWWA,2025-05-04T15:00:00Z,NA
009dd3f714ad89fc11bd977dfcf834d809f16289_2025-05-12 08:15:00,1,WCTHOLD,2025-05-12T08:15:00Z,2025-05-12T12:15:00Z,Removed,2025-05-12T00:00:00Z,Removed,NA,Male,NA,2004,Hispanic Origin,Not  Applicable,NA,NA,NA,8-Excluded/Removed - Inadmissibility,[8F] Expedited Removal,YES,2025-05-12T00:00:00Z,3,1 Convicted Criminal,IMMIGRANT WITHOUT AN IMMIGRANT VISA,2025-05-13T00:00:00Z,MEXICO,NA,MEXICO,Fugitive Operations,5404,Driving Under Influence Liquor,009dd3f714ad89fc11bd977dfcf834d809f16289,1,WACO DRO HOLD ROOM,WCTHOLD,2025-05-12T08:15:00Z,2025-05-12T12:15:00Z,WACO DRO HOLD ROOM,WCTHOLD,2025-05-12T08:15:00Z,2025-05-12T12:15:00Z,WACO DRO HOLD ROOM,WCTHOLD,2025-05-12T08:15:00Z,2025-05-12T12:15:00Z
00d781dd2f6987f3cea60371304801f3aa46926f_2025-02-19 07:00:00,1,WCTHOLD,2025-02-19T07:00:00Z,2025-02-19T11:30:00Z,Removed,2025-02-19T00:00:00Z,Removed,NA,Male,Single,1989,Hispanic Origin,Not  Applicable,NA,NA,NA,6-Deported/Removed - Deportability,[16] Reinstated Final Order,YES,2024-08-12T00:00:00Z,NA,2 Pending Criminal Charges,"ALIEN PREVIOUSLY REMOVED ONCE, NOT AS AN ARRIVING ALIEN (NOT AGGRAVATED FELONS)",2025-02-20T00:00:00Z,MEXICO,NA,MEXICO,ERO Criminal Alien Program,NA,NA,00d781dd2f6987f3cea60371304801f3aa46926f,1,WACO DRO HOLD ROOM,WCTHOLD,2025-02-19T07:00:00Z,2025-02-19T11:30:00Z,WACO DRO HOLD ROOM,WCTHOLD,2025-02-19T07:00:00Z,2025-02-19T11:30:00Z,WACO DRO HOLD ROOM,WCTHOLD,2025-02-19T07:00:00Z,2025-02-19T11:30:00Z
016fe087ea91467df28d88e9d3c6c5efaf5bb039_2024-10-17 07:04:00,1,WCTHOLD,2024-10-17T07:04:00Z,2024-10-17T12:22:00Z,Order of recognizance,2024-10-17T00:00:00Z,Order of recognizance,NA,Female,Married,1971,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,ACTIVE,[2A] Deportable - Under Adjudication by IJ,NO,NA,NA,2 Pending Criminal Charges,NA,NA,NA,NA,MEXICO,Fugitive Operations,NA,NA,016fe087ea91467df28d88e9d3c6c5efaf5bb039,1,WACO DRO HOLD ROOM,WCTHOLD,2024-10-17T07:04:00Z,2024-10-17T12:22:00Z,WACO DRO HOLD ROOM,WCTHOLD,2024-10-17T07:04:00Z,2024-10-17T12:22:00Z,WACO DRO HOLD ROOM,WCTHOLD,2024-10-17T07:04:00Z,2024-10-17T12:22:00Z
018f82219d838b1f9339a249af165c2aa7ed4ed1_2024-12-19 08:06:00,1,WCTHOLD,2024-12-19T08:06:00Z,2024-12-19T13:04:00Z,Removed,2024-12-19T00:00:00Z,Removed,NA,Male,Single,1992,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,6-Deported/Removed - Deportability,[16] Reinstated Final Order,YES,2018-04-18T00:00:00Z,2,1 Convicted Criminal,"ALIEN PREVIOUSLY REMOVED ONCE, NOT AS AN ARRIVING ALIEN (NOT AGGRAVATED FELONS)",2024-12-20T00:00:00Z,MEXICO,NA,MEXICO,Fugitive Operations,1399,Assault,018f82219d838b1f9339a249af165c2aa7ed4ed1,1,WACO DRO HOLD ROOM,WCTHOLD,2024-12-19T08:06:00Z,2024-12-19T13:04:00Z,WACO DRO HOLD ROOM,WCTHOLD,2024-12-19T08:06:00Z,2024-12-19T13:04:00Z,WACO DRO HOLD ROOM,WCTHOLD,2024-12-19T08:06:00Z,2024-12-19T13:04:00Z
019d434a10e6bd2a61d5702bab4d8d0a529bd05f_2024-06-03 08:50:00,3,WCTHOLD; MTGHOLD; MTGPCTX,2024-06-03T08:50:00Z,2024-06-28T16:00:00Z,Bonded Out - IJ,2024-06-28T00:00:00Z,Bonded Out - IJ,NA,Male,NA,1975,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,2024-06-27T16:00:23Z,8000,ACTIVE,[8B] Excludable / Inadmissible - Under Adjudication by IJ,NO,NA,2,1 Convicted Criminal,NA,NA,NA,8000,MEXICO,Fugitive Operations,5213,Firing Weapon,019d434a10e6bd2a61d5702bab4d8d0a529bd05f,1,WACO DRO HOLD ROOM,WCTHOLD,2024-06-03T08:50:00Z,2024-06-03T12:40:00Z,MONTGOMERY PROCESSING CTR,MTGPCTX,2024-06-03T17:35:00Z,2024-06-28T16:00:00Z,MONTGOMERY PROCESSING CTR,MTGPCTX,2024-06-03T17:35:00Z,2024-06-28T16:00:00Z
01a997e5fb464c3b5670e6282f9b13c1e28ebd55_2024-02-27 10:30:00,3,WCTHOLD; MTGHOLD; MTGPCTX,2024-02-27T10:30:00Z,2024-03-14T04:00:00Z,Removed,2024-03-14T00:00:00Z,Removed,NA,Male,Single,1990,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,YES,2024-03-08T00:00:00Z,NA,2 Pending Criminal Charges,ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs),2024-03-14T00:00:00Z,MEXICO,NA,MEXICO,Fugitive Operations,NA,NA,01a997e5fb464c3b5670e6282f9b13c1e28ebd55,1,WACO DRO HOLD ROOM,WCTHOLD,2024-02-27T10:30:00Z,2024-02-27T11:38:00Z,MONTGOMERY PROCESSING CTR,MTGPCTX,2024-02-27T16:40:00Z,2024-03-14T04:00:00Z,MONTGOMERY PROCESSING CTR,MTGPCTX,2024-02-27T16:40:00Z,2024-03-14T04:00:00Z
01ebef8e72c969905a2f2ea46f421188f8fbf6c2_2025-05-21 12:14:00,1,WCTHOLD,2025-05-21T12:14:00Z,2025-05-21T12:35:00Z,Removed,2025-05-21T00:00:00Z,Removed,NA,Male,Single,2000,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,8-Excluded/Removed - Inadmissibility,[8F] Expedited Removal,YES,2025-05-21T00:00:00Z,2,1 Convicted Criminal,IMMIGRANT WITHOUT AN IMMIGRANT VISA,2025-05-22T00:00:00Z,MEXICO,NA,MEXICO,ERO Criminal Alien Program,1399,Assault,01ebef8e72c969905a2f2ea46f421188f8fbf6c2,1,WACO DRO HOLD ROOM,WCTHOLD,2025-05-21T12:14:00Z,2025-05-21T12:35:00Z,WACO DRO HOLD ROOM,WCTHOLD,2025-05-21T12:14:00Z,2025-05-21T12:35:00Z,WACO DRO HOLD ROOM,WCTHOLD,2025-05-21T12:14:00Z,2025-05-21T12:35:00Z
022bd6b8945d016cb81dab75bb407cce8329fd79_2025-03-24 08:20:00,4,WCTHOLD; MTGHOLD; MTGPCTX; EPSSFTX,2025-03-24T08:20:00Z,2025-03-27T05:28:00Z,Removed,2025-03-27T00:00:00Z,Removed,NA,Male,NA,1996,Hispanic Origin,Not  Applicable,Not an Aggravated Felon,NA,NA,8-Excluded/Removed - Inadmissibility,[8C] Excludable / Inadmissible - Administrative Final Order Issued,YES,2025-01-28T00:00:00Z,NA,2 Pending Criminal Charges,ALIEN PRESENT WITHOUT ADMISSION OR PAROLE - (PWAs),2025-03-27T00:00:00Z,HONDURAS,NA,HONDURAS,Fugitive Operations,NA,NA,022bd6b8945d016cb81dab75bb407cce8329fd79,1,WACO DRO HOLD ROOM,WCTHOLD,2025-03-24T08:20:00Z,2025-03-24T18:27:00Z,EL PASO SOFT SIDED FACILITY,EPSSFTX,2025-03-25T20:30:00Z,2025-03-27T05:28:00Z,EL PASO SOFT SIDED FACILITY,EPSSFTX,2025-03-25T20:30:00Z,2025-03-27T05:28:00Z
